,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-13 23:06:25,Image,36,7
1,2018-03-09 14:10:53,Image,12,0
2,2018-03-05 17:19:11,Image,16,1
3,2018-03-04 16:30:05,Image,23,0
4,2018-03-03 00:25:06,Image,18,1
5,2018-03-02 16:14:10,Image,19,1
6,2018-03-01 16:28:44,Image,20,1
7,2018-02-25 16:23:26,Image,19,0
8,2018-02-22 18:32:08,Image,17,2
9,2018-02-20 18:25:33,Image,14,1
10,2018-02-20 15:40:17,Image,17,2
