"NAME","USERNAME","TEAM"
"Kemba Walker","_kw15","CHA"
"Kent Bazemore","24baze","ATL"
"Kentavious Caldwell-Pope","caldwellpope","LAL"
"Kevin Durant","kevindurant","GSW"
"Kevin Love","kevinlove","CLE"
"Kevon Looney","flyght5","GSW"
"Khris Middleton","k_mid22","MIL"
"Klay Thompson","klaythompson","GSW"
"Kosta Koufos","kostakoufos","SAC"
"Kristaps Porzingis","kporzee","NYK"
"Kyle Anderson","teamslowmo","SAS"
"Kyle Korver","kkorv26","CLE"
"Kyle Kuzma","kuzmakyle","LAL"
"Kyle Lowry","kyle_lowry7","TOR"
"Kyle O'Quinn","kyle.oquinn","NYK"
"Kyrie Irving","kyrieirving","BOS"
"LaMarcus Aldridge","aldridge_121","SAS"
"Lance Stephenson","stephensonlance","IND"
"Lance Thomas","mrlance42","NYK"
"Langston Galloway","langgalloway10","DET"
"Larry Nance Jr.","larrydn7","CLE"
"Lauri Markkanen","laurimarkkanen","CHI"
"LeBron James","kingjames","CLE"
"Lonzo Ball","zo","LAL"
"Lou Williams","louwillville","LAC"
"Luc Mbah a Moute","lucmbahamoute","HOU"
"Luke Kennard","lukekennard5","DET"
"Malcolm Brogdon","malcolmbrogdon","MIL"
"Malcolm Delaney","foe2304","ATL"
"Malik Beasley","mbeasy5","DEN"
"Malik Monk","ahmad_monk","CHA"
"Manu Ginobili","manuginobili","SAS"
"Marc Gasol","marcgasol","MEM"
"Marcin Gortat","mgortat13","WAS"
"Marco Belinelli","mbeli21","PHI"
"Marcus Morris","foestar13","BOS"
"Marcus Smart","youngamechanger","BOS"
"Mario Chalmers","mchalmers6","MEM"
"Mario Hezonja","supermariohezonja","ORL"
"Markieff Morris","keefmorris5.0","WAS"
"Marquese Chriss","quese","PHX"
"Marreese Speights","mspeights5","ORL"
"Mason Plumlee","masonplumlee","DEN"
"Maurice Harkless","moe_harkless","POR"
"Maxi Kleber","maximilian.kleber","DAL"
"Michael Beasley","michael8easley","NYK"
"Michael Carter-Williams","mr_carter5","CHA"
"Michael Kidd-Gilchrist","mkg14","CHA"
"Miles Plumlee","mc_plumlord","ATL"
"Montrezl Harrell","trezz24","LAC"
"Myles Turner","turner_myles","IND"
"Nemanja Bjelica","nemanjabjelica8","MIN"
"Nene","nenehilario_42","HOU"
"Nick Young","swaggyp1","GSW"
"Nicolas Batum","nicbatum88","CHA"
"Nikola Jokic","jokara95","DEN"
"Nikola Mirotic","threekola","NOP"
"Noah Vonleh","nvonleh","CHI"
"Norman Powell","normanpowell4","TOR"
"OG Anunoby","oanunoby","TOR"
"Omri Casspi","omricasspi18","GSW"
"Otto Porter Jr.","ottodayporter22","WAS"
"PJ Tucker","therealpjtucker17","HOU"
"Pascal Siakam","pskills43","TOR"
"Pat Connaughton","planetpat5","POR"
"Patrick McCaw","pmccaw0","GSW"
"Patrick Patterson","pdpatt","OKC"
"Patty Mills","balapat","SAS"
"Pau Gasol","paugasol","SAS"
"Paul George","ygtrece","OKC"
"Paul Zipser","paulzzip","CHI"
"Quincy Acy","quincyacy","BKN"
"Rajon Rondo","rajonrondo","NOP"
"Raymond Felton","teamgbms","OKC"
"Reggie Bullock","y0bull","DET"
"Ricky Rubio","ruuufio","UTA"
"Robert Covington","atf_33","PHI"
"Robin Lopez","gustogummi88","CHI"
"Rodney Hood","hoodie5","CLE"
"Rondae Hollis-Jefferson","chap","BKN"
"Royce O'Neale","rolls_royce00","UTA"
"Rudy Gay","rudygay","SAS"
"Rudy Gobert","rudygobert27","UTA"
"Russell Westbrook","russwest44","OKC"
"Ryan Anderson","rjanderson33","HOU"
"Salah Mejri","50mejri","DAL"
"Sam Dekker","samdek7","LAC"
"Semi Ojeleye","semiojeleye37","BOS"
"Serge Ibaka","sergeibaka","TOR"
"Shabazz Napier","shabazznap13r","POR"
"Shane Larkin","shanelarkin_0","BOS"
"Shaun Livingston","sdot1414","GSW"
"Shelvin Mack","shelvin.mack","ORL"
"Skal Labissiere","skal_lab","SAC"
"Spencer Dinwiddie","sdinwiddie_2508","BKN"
"Stanley Johnson","stanimal","DET"
"Stephen Curry","stephencurry30","GSW"
"Sterling Brown","sterlingbrown23","MIL"
"Steven Adams","stevenadams","OKC"
"T.J. McConnell","tjmcconnell","PHI"
"TJ Leaf","leafsquad","IND"
"TJ Warren","t.warren12","PHX"
"Taj Gibson","tajgibson22","MIN"
"Taurean Prince","taureanprince","ATL"
"Terrance Ferguson","the2kferguson","OKC"
"Terry Rozier","gmb_chum12","BOS"
"Thon Maker","thonmaker","MIL"
"Tim Frazier","timfraz23","WAS"
"Tim Hardaway Jr.","timmyjr10","NYK"
"Tobias Harris","tobiasharris","LAC"
"Tomas Satoransky","tomasatoransky","WAS"
"Tony Parker","_tonyparker09","SAS"
"Tony Snell","t.snell_","MIL"
"Treveon Graham","fr8train21","CHA"
"Trevor Booker","35_fitz","IND"
"Trey Lyles","treylyles","DEN"
"Tristan Thompson","realtristan13","CLE"
"Troy Daniels","troydaniels30","PHX"
"Tyler Dorsey","tylerdorsey5","ATL"
"Tyler Johnson","pushat305","MIA"
"Tyler Ulis","tulis3","PHX"
"Tyreke Evans","rekehavoc1","MEM"
"Tyson Chandler","tysonchandler","PHX"
"Tyus Jones","1tyus","MIN"
"Victor Oladipo","vicoladipo","IND"
"Wayne Ellington","wayne_elli","MIA"
"Wes Iwundu","and1ref_","ORL"
"Wesley Matthews","wessywes23","DAL"
"Will Barton","willthethrillb5","DEN"
"Willie Cauley-Stein","pr00fessortrill","SAC"
"Wilson Chandler","illwil21","DEN"
"Zach Collins","zachcollins_33","POR"
"Zach Randolph","macbo50","SAC"
"Zaza Pachulia","zazapachulia","GSW"
"Alex Len","alexlen_21","PHX"
"Yogi Ferrell","yogiferre11","DAL"
"John Wall","johnwall","WAS"
